STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
4,AZ,86440,0,2480
4,AZ,86441,0,500
4,AZ,86442,0,12390
4,AZ,86444,0,380
4,AZ,86445,0,120
4,AZ,86514,0,840
4,AZ,99999,0,142440
5,AR,0,0,1211380
5,AR,71601,0,5630
5,AR,71602,0,6990
5,AR,71603,0,12910
5,AR,71631,0,240
5,AR,71635,0,4800
5,AR,71638,0,1150
5,AR,71639,0,2440
5,AR,71640,0,1010
5,AR,71642,0,220
5,AR,71643,0,440
5,AR,71644,0,290
5,AR,71646,0,2420
5,AR,71647,0,650
5,AR,71652,0,410
5,AR,71653,0,1930
5,AR,71654,0,1760
5,AR,71655,0,5410
5,AR,71658,0,220
5,AR,71660,0,350
5,AR,71663,0,280
5,AR,71665,0,2200
5,AR,71667,0,2900
5,AR,71670,0,510
5,AR,71671,0,3400
5,AR,71674,0,230
5,AR,71675,0,740
5,AR,71676,0,210
5,AR,71701,0,7320
5,AR,71720,0,970
5,AR,71725,0,210
5,AR,71726,0,460
5,AR,71730,0,13100
5,AR,71740,0,630
5,AR,71742,0,2040
5,AR,71743,0,1580
5,AR,71744,0,1150
5,AR,71747,0,340
5,AR,71749,0,1010
5,AR,71751,0,320
5,AR,71752,0,340
5,AR,71753,0,5660
5,AR,71758,0,160
5,AR,71762,0,1060
5,AR,71763,0,600
5,AR,71764,0,660
5,AR,71765,0,840
5,AR,71766,0,250
5,AR,71770,0,1240
5,AR,71801,0,5880
5,AR,71822,0,3230
5,AR,71825,0,240
5,AR,71826,0,370
5,AR,71827,0,290
5,AR,71832,0,3970
5,AR,71833,0,820
5,AR,71834,0,460
5,AR,71835,0,490
5,AR,71836,0,1080
5,AR,71837,0,1890
5,AR,71838,0,360
5,AR,71841,0,280
5,AR,71842,0,790
5,AR,71845,0,770
5,AR,71846,0,950
5,AR,71847,0,220
5,AR,71851,0,860
5,AR,71852,0,4010
5,AR,71853,0,180
5,AR,71854,0,14830
5,AR,71855,0,240
5,AR,71857,0,2260
5,AR,71858,0,560
5,AR,71859,0,130
5,AR,71860,0,870
5,AR,71861,0,780
5,AR,71862,0,320
5,AR,71866,0,230
5,AR,71901,0,11540
5,AR,71909,0,8330
5,AR,71913,0,19520
5,AR,71921,0,1120
5,AR,71923,0,5740
5,AR,71929,0,1910
5,AR,71933,0,520
5,AR,71935,0,230
5,AR,71937,0,660
5,AR,71940,0,550
5,AR,71941,0,710
5,AR,71943,0,1680
5,AR,71944,0,250
5,AR,71945,0,490
5,AR,71949,0,700
5,AR,71950,0,340
5,AR,71953,0,5420
5,AR,71956,0,700
5,AR,71957,0,1190
5,AR,71958,0,950
5,AR,71959,0,230
5,AR,71960,0,430
5,AR,71961,0,330
5,AR,71962,0,280
5,AR,71964,0,1540
5,AR,71965,0,120
5,AR,71968,0,1820
5,AR,71969,0,110
5,AR,71970,0,230
5,AR,71971,0,160
5,AR,71972,0,140
5,AR,71973,0,500
5,AR,72001,0,180
5,AR,72002,0,6910
5,AR,72003,0,290
5,AR,72004,0,460
5,AR,72006,0,900
5,AR,72007,0,3350
5,AR,72010,0,2270
5,AR,72011,0,1900
5,AR,72012,0,5240
5,AR,72013,0,750
5,AR,72015,0,11360
5,AR,72016,0,1210
5,AR,72017,0,240
5,AR,72019,0,10940
5,AR,72020,0,1350
5,AR,72021,0,1590
5,AR,72022,0,7470
5,AR,72023,0,15010
5,AR,72024,0,1440
5,AR,72025,0,310
5,AR,72026,0,110
5,AR,72027,0,500
5,AR,72029,0,700
5,AR,72030,0,260
5,AR,72031,0,2750
